"";"2018";"2017";"Компания";"Регион";"Основной вид   деятельности компании";"Отрасль";"Выручка в 2016   году, млн руб.";"Выручка в 2015   году, млн руб.";"Прирост выручки   в 2016 году, %";"Чистая прибыль в   2016 году, млн руб.";"Чистая прибыль в   2015 году, млн руб."
"1";1;2;"ПАО   «РОСТВЕРТОЛ» (включая дочерние)";"Ростовская   область";"Производство   вертолётов, самолётов и прочих летательных аппаратов";"Машиностроение   и металлообработка";108657;78313;38;24748;15335
"2";2;1;"АО   «ВОЛЖСКИЙ ТРУБНЫЙ ЗАВОД»";"Волгоградская   область";"Производство   стальных труб, полых профилей и фитингов";"Чёрная   металлургия";70978;81897;-13;1828;9325
"3";3;9;"ГК   «РОСТСЕЛЬМАШ»";"Ростовская   область";"Производство   машин и сельскохозяйственного оборудования для обработки почвы";"Машиностроение   и металлообработка";54381;38338;41;1718;1414
"4";4;5;"АО   «ФИРМА “АГРОКОМПЛЕКС ИМ. Н.<U+2005>И.<U+2005>ТКАЧЁВА”»";"Краснодарский   край";"Смешанное   сельское хозяйство";"АПК   и пищевая промышленность";44756;38681;15;2944;6645
"5";5;3;"АО   «НЕВИННОМЫССКИЙ АЗОТ»";"Ставропольский   край";"Производство   удобрений и азотных соединений";"Химическая   промышленность";42791;47460;-9;11576;11847
"6";6;7;"ООО   «СТАВРОЛЕН»";"Ставропольский   край";"Производство   пластмасс и синтетических смол в первичных формах";"Химическая   промышленность";39292;26096;50;10776;6923
"7";2;108657;"ЗАО   «КОРПОРАЦИЯ «ГЛОРИЯ ДЖИНС»»";"Ростовская   область";"Производство   прочей верхней одежды";"Лёгкая   промышленность";78313;38;24748;15335;1
"8";1;70978;"ПАО   «ТАГАНРОГСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД»";"Ростовская   область";"Производство   стальных труб, полых профилей и фитингов";"Чёрная   металлургия";81897;-13;1828;9325;2
"9";9;54381;"ОАО   «АСТОН ПРОДУКТЫ ПИТАНИЯ И ПИЩЕВЫЕ ИНГРЕДИЕНТЫ»";"Ростовская   область";"Производство   рафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";38338;41;1718;1414;3
"10";5;44756;"ООО   «АБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ ЗАВОД»";"Краснодарский   край";"Производство   сортового горячекатаного проката и катанки";"Машиностроение   и металлообработка";38681;15;2944;6645;4
"11";3;42791;"ООО   «МАСЛОЭКСТРАКЦИОННЫЙ ЗАВОД ЮГ РУСИ»";"Ростовская   область";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";47460;-9;11576;11847;5
"12";7;39292;"АО   «ДОНСКОЙ ТАБАК»";"Ростовская   область";"Производство   табачных изделий";"Табачная   промышленность";26096;50;10776;6923;6
"13";108657;78313;"ООО   «ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ “НОВОЧЕРКАССКИЙ ЭЛЕКТРОВОЗОСТРОИТЕЛЬНЫЙ ЗАВОД”»";"Ростовская   область";"Производство   железнодорожных локомотивов и подвижного состава";"Машиностроение   и металлообработка";38;24748;15335;1;2
"14";70978;81897;"ООО   «ПИЩЕВЫЕ ИНГРЕДИЕНТЫ»";"Краснодарский   край";"Производство   растительных и животных масел и жиров";"АПК   и пищевая промышленность";-13;1828;9325;2;1
"15";54381;38338;"АО   «КАУСТИК»";"Волгоградская   область";"Производство   прочих основных неорганических химических веществ";"Химическая   промышленность";41;1718;1414;3;9
"16";44756;38681;"ООО   «НЕСТЛЕ КУБАНЬ»";"Краснодарский   край";"Производство   чая и кофе";"АПК   и пищевая промышленность";15;2944;6645;4;5
"17";42791;47460;"ГК   «АРНЕСТ»";"Ставропольский   край";"Производство   парфюмерных и косметических средств";"Химическая   промышленность";-9;11576;11847;5;3
"18";39292;26096;"ОАО   «ФИЛИП МОРРИС КУБАНЬ»";"Краснодарский   край";"Производство   табачных изделий";"Табачная   промышленность";50;10776;6923;6;7
"19";78313;38;"ООО   «ЕВРОХИМ-БЕЛОРЕЧЕНСКИЕ МИНУДОБРЕНИЯ»";"Краснодарский   край";"Производство   удобрений и азотных соединений";"Химическая   промышленность";24748;15335;1;2;108657
"20";81897;-13;"АО   «КОНЦЕРН «ЭНЕРГОМЕРА»» (включая дочерние)";"Ставропольский   край";"Производство   приборов и аппаратуры для измерения электрических величин";"Машиностроение   и металлообработка";1828;9325;2;1;70978
"21";38338;41;"АО   «ВОЛЖСКИЙ ОРГСИНТЕЗ»";"Волгоградская   область";"Производство   прочих основных органических химических веществ";"Химическая   промышленность";1718;1414;3;9;54381
"22";38681;15;"ЗАО   «КОРЕНОВСКИЙ МОЛОЧНО - КОНСЕРВНЫЙ КОМБИНАТ»";"Краснодарский   край";"Производство   прочей молочной продукции";"АПК   и пищевая промышленность";2944;6645;4;5;44756
"23";47460;-9;"ООО   «КОМПАНИЯ “БЛАГО”»";"Краснодарский   край";"Производство   растительных и животных масел и жиров";"АПК   и пищевая промышленность";11576;11847;5;3;42791
"24";26096;50;"ОАО   «САДЫ ПРИДОНЬЯ»";"Волгоградская   область";"Производство   соковой продукции из фруктов и овощей";"АПК   и пищевая промышленность";10776;6923;6;7;39292
"25";38;24748;"ОАО   «НОВОРОСЦЕМЕНТ»";"Краснодарский   край";"Производство   цемента";"Промышленность   строительных материалов";15335;1;2;108657;78313
"26";-13;1828;"ООО   «НОВОРОСМЕТАЛЛ»";"Краснодарский   край";"Производство   стали в слитках";"Чёрная   металлургия";9325;2;1;70978;81897
"27";41;1718;"ООО   «ПТИЦЕКОМБИНАТ»";"Ставропольский   край";"Производство   и консервирование мяса птицы";"АПК   и пищевая промышленность";1414;3;9;54381;38338
"28";15;2944;"ОАО   «ТАГАНРОГСКИЙ КОТЛОСТРОИ­ТЕЛЬНЫЙ ЗАВОД “КРАСНЫЙ КОТЕЛЬЩИК”»";"Ростовская   область";"Производство   паровых котлов и их частей";"Машиностроение   и металлообработка";6645;4;5;44756;38681
"29";-9;11576;"ООО   «БОНДЮЭЛЬ-КУБАНЬ»";"Краснодарский   край";"Торговля   оптовая консервированными овощами, фруктами и орехами";"АПК   и пищевая промышленность";11847;5;3;42791;47460
"30";50;10776;"ОАО   «ВОЛГОГРАДНЕФТЕМАШ»";"Волгоградская   область";"Производство   газогенераторов, аппаратов для дистилляции и фильтрования";"Машиностроение   и металлообработка";6923;6;7;39292;26096
"31";24748;15335;"ООО   «ИМПЕРИАЛ ТОБАККО ВОЛГА»";"Волгоградская   область";"Производство   табачных изделий";"Табачная   промышленность";1;2;108657;78313;38
"32";1828;9325;"АО   «СЕБРЯКОВЦЕМЕНТ»";"Волгоградская   область";"Производство   цемента";"Промышленность   строительных материалов";2;1;70978;81897;-13
"33";1718;1414;"ООО   «НТ»";"Ростовская   область";"Производство   табачных изделий";"Табачная   промышленность";3;9;54381;38338;41
"34";2944;6645;"ООО   «ЕВРОДОН»";"Ростовская   область";"Разведение   сельскохозяйственной птицы";"АПК   и пищевая промышленность";4;5;44756;38681;15
"35";11576;11847;"ООО   «РОСТОВСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ ЗАВОДЪ» (РЭМЗ)";"Ростовская   область";"Производство   стали в слитках";"Чёрная   металлургия";5;3;42791;47460;-9
"36";10776;6923;"ООО   «АВТОМОБИЛЬНАЯ КОМПАНИЯ “ДЕРВЕЙС”»";"Карачаево-Черкесия";"Производство   легковых автомобилей";"Машиностроение   и металлообработка";6;7;39292;26096;50
"37";15335;1;"ООО   «ЛАБИНСКИЙ МАСЛОЭКСТРАКЦИОННЫЙ ЗАВОД»";"Краснодарский   край";"Производство   нерафинированных растительных масел и их фракций";"АПК   и пищевая промышленность";2;108657;78313;38;24748
"38";9325;2;"АО   «АЛЮМИНИЙ МЕТАЛЛУРГ РУС»";"Ростовская   область";"Производство   алюминия";"Цветная   металлургия";1;70978;81897;-13;1828
"39";1414;3;"ПАО   «ТАГАНРОГСКИЙ АВИАЦИОННЫЙ НАУЧНО-ТЕХНИЧЕСКИЙ КОМПЛЕКС ИМ. Г.М. БЕРИЕВА»";"Ростовская   область";"Производство   вертолётов, самолётов и прочих летательных аппаратов";"Машиностроение   и металлообработка";9;54381;38338;41;1718
"40";6645;4;"ООО   «РОСТОВСКИЙ КОЛБАСНЫЙ ЗАВОД - ТАВР»";"Ростовская   область";"Производство   продукции из мяса убойных животных и мяса птицы";"АПК   и пищевая промышленность";5;44756;38681;15;2944
"41";11847;5;"АО   «АГРООБЪЕДИНЕНИЕ “КУБАНЬ”»";"Краснодарский   край";"Выращивание   зерновых культур";"АПК   и пищевая промышленность";3;42791;47460;-9;11576
"42";6923;6;"АО   «ВОЛГОГРАДСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ “КРАСНЫЙ ОКТЯБРЬ”»";"Волгоградская   область";"Производство   стали в слитках";"Чёрная   металлургия";7;39292;26096;50;10776
